========== BÁO CÁO GIẢI MÃ CHÍNH XÁC BNN WEIGHTS ==========
Tổng số từ: 1426 words (Chuẩn: 16 + 256 + 1152 + 2 = 1426)
===========================================================


--- LỚP CONV1 (16 Filters x 9-bit) ---
Addr 202  | Hex: 0000FE71 | Flt: 11 Ch: 10 | (No Threshold)                | W_9b: 001110001
Addr 203  | Hex: 0000FE6D | Flt: 11 Ch: 11 | (No Threshold)                | W_9b: 001101101
Addr 204  | Hex: 0000FE3B | Flt: 11 Ch: 12 | (No Threshold)                | W_9b: 000111011
Addr 205  | Hex: 0000FF74 | Flt: 11 Ch: 13 | (No Threshold)                | W_9b: 101110100
Addr 206  | Hex: 0000FE22 | Flt: 11 Ch: 14 | (No Threshold)                | W_9b: 000100010
Addr 207  | Hex: 50448066 | Flt: 11 Ch: 15 | Pol: 1 | Pos_Th: 68  | Neg_Th: 80  | W_9b: 001100110
Addr 208  | Hex: 0000FE83 | Flt: 12 Ch: 0  | (No Threshold)                | W_9b: 010000011
Addr 209  | Hex: 0000FE61 | Flt: 12 Ch: 1  | (No Threshold)                | W_9b: 001100001
Addr 210  | Hex: 0000FE2A | Flt: 12 Ch: 2  | (No Threshold)                | W_9b: 000101010
Addr 211  | Hex: 0000FFF0 | Flt: 12 Ch: 3  | (No Threshold)                | W_9b: 111110000
Addr 212  | Hex: 0000FEB0 | Flt: 12 Ch: 4  | (No Threshold)                | W_9b: 010110000
Addr 213  | Hex: 0000FE22 | Flt: 12 Ch: 5  | (No Threshold)                | W_9b: 000100010
Addr 214  | Hex: 0000FE3A | Flt: 12 Ch: 6  | (No Threshold)                | W_9b: 000111010
Addr 215  | Hex: 0000FE19 | Flt: 12 Ch: 7  | (No Threshold)                | W_9b: 000011001
Addr 216  | Hex: 0000FFC0 | Flt: 12 Ch: 8  | (No Threshold)                | W_9b: 111000000
Addr 217  | Hex: 0000FE2F | Flt: 12 Ch: 9  | (No Threshold)                | W_9b: 000101111
Addr 218  | Hex: 0000FEF4 | Flt: 12 Ch: 10 | (No Threshold)                | W_9b: 011110100
Addr 219  | Hex: 0000FF92 | Flt: 12 Ch: 11 | (No Threshold)                | W_9b: 110010010
Addr 220  | Hex: 0000FE4D | Flt: 12 Ch: 12 | (No Threshold)                | W_9b: 001001101
Addr 221  | Hex: 0000FE70 | Flt: 12 Ch: 13 | (No Threshold)                | W_9b: 001110000
Addr 222  | Hex: 0000FE36 | Flt: 12 Ch: 14 | (No Threshold)                | W_9b: 000110110
Addr 223  | Hex: 54478097 | Flt: 12 Ch: 15 | Pol: 1 | Pos_Th: 71  | Neg_Th: 84  | W_9b: 010010111
Addr 224  | Hex: 0000FE43 | Flt: 13 Ch: 0  | (No Threshold)                | W_9b: 001000011
Addr 225  | Hex: 0000FE4D | Flt: 13 Ch: 1  | (No Threshold)                | W_9b: 001001101
Addr 226  | Hex: 0000FE8B | Flt: 13 Ch: 2  | (No Threshold)                | W_9b: 010001011
Addr 227  | Hex: 0000FFDE | Flt: 13 Ch: 3  | (No Threshold)                | W_9b: 111011110
Addr 228  | Hex: 0000FFD6 | Flt: 13 Ch: 4  | (No Threshold)                | W_9b: 111010110
Addr 229  | Hex: 0000FE3C | Flt: 13 Ch: 5  | (No Threshold)                | W_9b: 000111100
Addr 230  | Hex: 0000FE59 | Flt: 13 Ch: 6  | (No Threshold)                | W_9b: 001011001
Addr 231  | Hex: 0000FEC1 | Flt: 13 Ch: 7  | (No Threshold)                | W_9b: 011000001
Addr 232  | Hex: 0000FE46 | Flt: 13 Ch: 8  | (No Threshold)                | W_9b: 001000110
Addr 233  | Hex: 0000FF8D | Flt: 13 Ch: 9  | (No Threshold)                | W_9b: 110001101
Addr 234  | Hex: 0000FFDE | Flt: 13 Ch: 10 | (No Threshold)                | W_9b: 111011110
Addr 235  | Hex: 0000FE08 | Flt: 13 Ch: 11 | (No Threshold)                | W_9b: 000001000
Addr 236  | Hex: 0000FEEB | Flt: 13 Ch: 12 | (No Threshold)                | W_9b: 011101011
Addr 237  | Hex: 0000FE4F | Flt: 13 Ch: 13 | (No Threshold)                | W_9b: 001001111
Addr 238  | Hex: 0000FE0F | Flt: 13 Ch: 14 | (No Threshold)                | W_9b: 000001111
Addr 239  | Hex: 5044804E | Flt: 13 Ch: 15 | Pol: 1 | Pos_Th: 68  | Neg_Th: 80  | W_9b: 001001110
Addr 240  | Hex: 0000FFE1 | Flt: 14 Ch: 0  | (No Threshold)                | W_9b: 111100001
Addr 241  | Hex: 0000FFC6 | Flt: 14 Ch: 1  | (No Threshold)                | W_9b: 111000110
Addr 242  | Hex: 0000FFA2 | Flt: 14 Ch: 2  | (No Threshold)                | W_9b: 110100010
